Player,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TS%,EFF,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,SMOY_Candidate,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,SMOY_Eligible
Bobby Jones,31.0,PHI,74.0,0.0,23.6,3.4,6.2,54.83870967741935,0.0,0.0,0.0,3.4,6.2,54.83870967741935,54.83870967741935,2.2,2.8,78.57142857142858,60.54897739504843,17.43243243243243,1.4,3.3,4.6,1.9,1.1,1.2,1.5,2.7,9.0,"DPOY-3,6MOY-1",1982-83,1,0,1,0,0,0,1
Kevin McHale,26.0,BOS,82.0,10.0,31.4,7.2,12.9,55.81395348837209,0.0,0.0,0.0,7.1,12.8,55.46874999999999,55.81395348837209,4.1,5.4,75.92592592592592,60.22518984027232,24.512195121951216,2.5,4.9,7.4,1.3,0.3,1.5,1.8,3.0,18.4,"6MOY-1,AS",1983-84,1,0,1,0,0,0,1
John Drew,29.0,UTA,81.0,4.0,22.2,6.3,13.2,47.72727272727273,0.1,0.3,33.333333333333336,6.2,12.9,48.06201550387597,48.10606060606061,5.0,6.4,78.125,55.25724275724277,17.28395061728395,1.8,2.4,4.2,1.7,1.1,0.0,2.4,2.6,17.7,6MOY-2,1983-84,1,0,0,0,1,0,1
Kenny Carr,28.0,POR,82.0,57.0,29.9,6.3,11.3,55.75221238938053,0.0,0.1,0.0,6.3,11.2,56.25,55.75221238938053,3.0,4.5,66.66666666666666,58.73493975903615,21.34146341463414,2.5,5.3,7.8,1.9,0.8,0.4,2.5,3.3,15.6,6MOY-3,1983-84,1,0,1,0,0,0,0
Phil Hubbard,27.0,CLE,80.0,6.0,22.5,4.0,7.9,50.632911392405056,0.0,0.0,0.0,4.0,7.8,51.28205128205129,50.632911392405056,2.8,3.7,75.67567567567566,56.67506297229219,14.375000000000002,2.2,2.6,4.8,1.1,0.9,0.1,1.4,3.1,10.8,6MOY-3,1983-84,1,0,0,0,1,0,1
Bobby Jones,32.0,PHI,75.0,0.0,23.5,3.0,5.8,51.72413793103448,0.0,0.0,0.0,3.0,5.7,52.63157894736842,51.72413793103448,2.2,2.8,78.57142857142858,59.01592718998862,17.599999999999998,1.2,3.1,4.3,2.5,1.4,1.4,1.3,2.7,8.3,"DPOY-4,6MOY-3",1983-84,1,0,1,0,0,0,1
Kevin McHale,27.0,BOS,79.0,31.0,33.6,7.7,13.4,57.46268656716418,0.0,0.1,0.0,7.7,13.4,57.46268656716418,57.46268656716418,4.5,5.9,76.27118644067797,61.89047261815453,29.62025316455696,2.9,6.1,9.0,1.8,0.4,1.5,2.0,3.0,19.8,6MOY-1,1984-85,1,0,1,0,0,0,1
Clyde Drexler,22.0,POR,80.0,43.0,31.9,7.2,14.5,49.6551724137931,0.1,0.5,20.0,7.1,14.1,50.35460992907801,50.0,2.8,3.7,75.67567567567566,53.323412698412696,25.99999999999999,2.7,3.2,6.0,5.5,2.2,0.9,2.8,3.3,17.2,"MVP-22,6MOY-2",1984-85,1,0,0,0,0,1,0
Dan Issel,36.0,DEN,77.0,9.0,21.9,4.7,10.3,45.63106796116504,0.0,0.1,0.0,4.7,10.2,46.07843137254902,45.63106796116504,3.3,4.1,80.48780487804879,52.87508261731659,16.233766233766232,1.0,3.3,4.3,1.8,0.8,0.4,1.2,2.2,12.8,6MOY-2,1984-85,1,1,0,0,0,0,1
Eddie Johnson,26.0,SAC,82.0,30.0,30.7,7.6,16.0,47.5,0.0,0.2,0.0,7.5,15.7,47.77070063694268,47.5,3.4,4.2,80.95238095238095,52.38682205289108,19.268292682926827,2.1,3.0,5.1,2.6,0.7,0.2,2.3,2.9,18.7,6MOY-3,1985-86,1,0,0,0,1,0,1
