Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Bobby Jones,29.0,PHI,PF,81.0,0.0,25.3,5.0,9.3,53.76344086021505,0.0,0.0,0.0,5.0,9.3,53.76344086021505,53.76344086021505,3.5,4.3,81.3953488372093,1.8,3.6,5.4,2.8,1.2,0.9,1.8,2.8,13.5,"MVP-24,AS",1980-81
Ricky Sobers,28.0,CHI,PG,71.0,0.0,25.4,5.0,10.8,46.29629629629629,0.2,0.9,22.222222222222225,4.8,9.9,48.48484848484848,47.222222222222214,3.3,3.5,94.28571428571428,0.6,1.4,2.0,4.0,1.4,0.2,2.9,3.2,13.5,No Awards,1980-81
Kevin McHale,23.0,BOS,PF,82.0,1.0,20.1,4.3,8.1,53.086419753086425,0.0,0.0,0.0,4.3,8.1,53.086419753086425,53.086419753086425,1.3,1.9,68.42105263157895,1.9,2.5,4.4,0.7,0.3,1.8,1.3,3.2,10.0,ROY-4,1980-81
Ollie Mack,23.0,2TM,SG,65.0,0.0,25.9,4.3,9.3,46.23655913978494,0.0,0.1,0.0,4.3,9.2,46.73913043478261,46.23655913978494,1.2,1.9,63.1578947368421,1.4,2.1,3.5,2.5,0.9,0.1,1.1,1.8,9.8,No Awards,1980-81
Lionel Hollins,27.0,PHI,PG,82.0,13.0,26.3,4.0,8.5,47.05882352941176,0.0,0.2,0.0,4.0,8.3,48.192771084337345,47.05882352941176,1.5,2.1,71.42857142857143,0.6,1.8,2.3,4.3,1.3,0.2,2.5,2.5,9.5,No Awards,1980-81
Marvin Webster,28.0,NYK,C,82.0,3.0,20.8,1.9,4.2,45.238095238095234,0.0,0.0,0.0,1.9,4.1,46.34146341463415,45.238095238095234,1.3,2.0,65.0,2.0,3.7,5.7,0.9,0.3,1.2,1.3,2.3,5.2,No Awards,1980-81
Mark Aguirre,22.0,DAL,SF,51.0,20.0,28.8,7.5,16.1,46.58385093167701,0.5,1.4,35.714285714285715,7.0,14.7,47.61904761904762,48.13664596273291,3.3,4.8,68.75,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3.0,18.7,No Awards,1981-82
Andrew Toney,24.0,PHI,SG,77.0,1.0,24.8,6.6,12.7,51.96850393700787,0.3,0.8,37.49999999999999,6.3,11.9,52.94117647058824,53.14960629921261,2.9,4.0,72.5,0.6,1.2,1.7,3.7,0.8,0.2,2.8,3.5,16.5,No Awards,1981-82
Brian Winters,29.0,MIL,SG,61.0,13.0,30.0,6.6,13.2,50.0,0.6,1.5,40.0,6.0,11.7,51.28205128205129,52.27272727272727,2.0,2.6,76.92307692307692,0.8,2.0,2.8,4.1,0.9,0.1,1.9,3.1,15.9,No Awards,1981-82
David Thompson,27.0,DEN,SG,61.0,5.0,20.4,5.1,10.6,48.113207547169814,0.1,0.2,50.0,5.1,10.3,49.51456310679611,48.58490566037735,4.5,5.6,80.35714285714286,0.9,1.5,2.4,1.9,0.6,0.5,2.3,2.4,14.9,No Awards,1981-82
Walter Davis,27.0,PHO,SF,55.0,12.0,21.5,6.4,12.2,52.459016393442624,0.1,0.3,33.333333333333336,6.3,11.9,52.94117647058824,52.8688524590164,1.7,2.0,85.0,0.4,1.5,1.9,2.9,0.8,0.1,2.0,1.9,14.4,No Awards,1981-82
Jeff Ruland,23.0,WSB,C,82.0,0.0,27.0,5.1,9.1,56.043956043956044,0.0,0.0,0.0,5.1,9.1,56.043956043956044,56.043956043956044,4.2,5.5,76.36363636363637,3.1,6.2,9.3,1.6,0.5,0.7,2.9,3.9,14.4,No Awards,1981-82
